,M,t,x,u_actual,u_pred
5253,4.5,0.01,0.01,0.5330590999999999,0.25243595
5254,4.5,0.01,0.02,0.0,0.20179546
5255,4.5,0.01,0.03,0.0,0.18270636
5256,4.5,0.01,0.04,0.0,0.08662622
5257,4.5,0.01,0.05,0.0,0.07978543
5258,4.5,0.01,0.06,0.0,0.07642344
5259,4.5,0.01,0.07,0.0,0.07448875
5260,4.5,0.01,0.08,0.0,0.072910376
5261,4.5,0.01,0.09,0.0,0.07162027
5262,4.5,0.01,0.1,0.0,0.07053133
5263,4.5,0.01,0.11,0.0,0.06960317
5264,4.5,0.01,0.12,0.0,0.06881586
5265,4.5,0.01,0.13,0.0,0.06815834
5266,4.5,0.01,0.14,0.0,0.06762292
5267,4.5,0.01,0.15,0.0,0.06720283
5268,4.5,0.01,0.16,0.0,0.066891
5269,4.5,0.01,0.17,0.0,0.06667994
5270,4.5,0.01,0.18,0.0,0.06656171
5271,4.5,0.01,0.19,0.0,0.066527955
5272,4.5,0.01,0.2,0.0,0.066570446
5273,4.5,0.01,0.21,0.0,0.06668084
5274,4.5,0.01,0.22,0.0,0.066851236
5275,4.5,0.01,0.23,0.0,0.0670741
5276,4.5,0.01,0.24,0.0,0.06734236
5277,4.5,0.01,0.25,0.0,0.067649476
5278,4.5,0.01,0.26,0.0,0.067989536
5279,4.5,0.01,0.27,0.0,0.06835711
5280,4.5,0.01,0.28,0.0,0.068747334
5281,4.5,0.01,0.29,0.0,0.06915587
5282,4.5,0.01,0.3,0.0,0.06957887
5283,4.5,0.01,0.31,0.0,0.070012935
5284,4.5,0.01,0.32,0.0,0.07045507
5285,4.5,0.01,0.33,0.0,0.0709026
5286,4.5,0.01,0.34,0.0,0.071353264
5287,4.5,0.01,0.35,0.0,0.07180506
5288,4.5,0.01,0.36,0.0,0.07225625
5289,4.5,0.01,0.37,0.0,0.07270541
5290,4.5,0.01,0.38,0.0,0.07315122
5291,4.5,0.01,0.39,0.0,0.073592626
5292,4.5,0.01,0.4,0.0,0.07402867
5293,4.5,0.01,0.41,0.0,0.07445865
5294,4.5,0.01,0.42,0.0,0.07488187
